state_index,snr_db,delta_near,delta_far,sigma_n2,eta,relay_alpha_2_selected_relay,relay_alpha_2_gain,relay_alpha_2_optimal_rho,relay_alpha_2_min_avg_pep,relay_alpha_3_selected_relay,relay_alpha_3_gain,relay_alpha_3_optimal_rho,relay_alpha_3_min_avg_pep,lambda_1_optimal_rho,lambda_1_min_avg_pep
1487,31.025595106903932,0.025312610419999326,0.036806035142102664,0.6119399644006436,0.6989597147681922,8,0.48980528705535575,0.049,0.00016084089012202707,8,1.910968389137431,0.026000000000000002,0.00015086138455944198,0.035,0.0001546863576840085
1488,7.802055255406302,0.027223449833000075,0.02967689498143644,0.8710323210448535,0.7700157364737713,8,1.1355293027667304,0.245,0.16595484667173907,8,7.428303607317452,0.121,0.12212230546853786,0.255,0.17066497029043845
1489,9.88184685838924,0.05772831305034486,0.09355443059952,0.9726984616293994,0.6738114549879065,2,0.3177753714322422,0.308,0.15407625567263436,2,1.6046960992494512,0.184,0.10201953990339394,0.219,0.1128880764440977
1490,28.74848408943546,0.0046984456245379325,0.06944949926380581,0.8231755204939925,0.8372072675310226,8,3.0890970564402846,0.022000000000000002,0.0009732667167491604,8,26.76833883244308,0.008,0.0009436510509105434,0.038,0.0010086362845316832
1491,11.586564489338182,0.15376833746727092,0.17050390014697966,0.7853615453525011,0.6586489087997647,4,0.6453035018399234,0.254,0.12088804149264401,4,4.047158496392778,0.126,0.08862938854540536,0.219,0.10992575253551276
1492,39.7862206581138,0.18061070526789813,0.7243247533966638,0.9589170089864456,0.8862943885153468,8,0.13442958268740815,0.028,0.15947226181751428,8,0.3150017264315583,0.018000000000000002,0.15877947439335272,0.010000000000000002,0.15820978257561155
1493,10.926268216275934,0.075441599247328,0.18357886807603307,0.812063161853012,0.9014292449264478,1,0.11727553653628214,0.366,0.18439149388649972,1,0.2698826622317102,0.303,0.14316199608449162,0.199,0.10454983485584973
1494,4.592098009198307,0.07879248853978338,0.8507941675514873,0.7984214783223542,0.806299493536827,4,0.5129706806353252,0.38,0.37143036982025623,4,2.3674071810766124,0.28,0.3165764653407196,0.341,0.34559055968917746
1495,15.378174852641278,0.1510950396690522,0.9788860737728515,0.8452723867072478,0.732037812845336,8,0.7404989520056012,0.179,0.20459538911343464,8,6.0372972240900635,0.07300000000000001,0.1927461912883266,0.159,0.2019832492279726
1496,30.47502331912125,0.057508969094711836,0.6340373529713548,0.5938000099803127,0.7386833436788643,1,2.7492257388809223,0.025,0.12993319708079604,1,17.72406538515179,0.010000000000000002,0.1291372491273858,0.041,0.1308002803070244
1497,15.736129890143564,0.016362535104756406,0.0656889291614655,0.6470244285423585,0.6320174550017217,1,3.829537548385959,0.085,0.014748473824613278,1,27.422547433678535,0.034,0.01245029332896877,0.153,0.018959127131105896
1498,8.633408184209063,0.0004248879933094474,0.02222366560424957,0.6549068404318604,0.9201113664863837,5,0.8834372652045193,0.255,0.14963903992986177,5,6.955274839193628,0.11800000000000001,0.10259921301726024,0.246,0.14516805428367183
1499,34.290038149623655,0.013263842585496215,0.04440939321852177,0.6297914189182904,0.873291426388396,2,1.6300518973431575,0.018000000000000002,0.00016742397765845407,2,16.005877604933044,0.006,0.000162994664649585,0.023,0.00016926595481142614
1500,10.586003599589564,0.0589448203035828,0.07429824688469425,0.5402992661103276,0.8989587722265427,2,0.7324658989620196,0.251,0.10862257785845564,2,6.1171192613658745,0.112,0.07056915281381093,0.227,0.09973344528457503
1501,29.20502292960623,0.05415631138236764,0.06429425553972369,0.5208195822105398,0.8575910369798074,6,0.2818513430933933,0.08,0.0013216554517621881,6,2.156400285966558,0.030000000000000002,0.0011712597248921819,0.044000000000000004,0.001209128751206684
1502,35.99207163475697,0.05524436900773234,0.07263525725901769,0.6006617806922526,0.9202609017755051,4,0.4594916312098332,0.029,0.0012838150418014727,4,2.975868002177908,0.011,0.0012404475883246446,0.02,0.0012605705522934496
1503,9.761633880121733,0.01588425491548674,0.027484571300389195,0.5055004525665624,0.6709765824753361,6,0.19220279872464363,0.383,0.21899858884921594,6,0.522938678158185,0.318,0.1575520006043423,0.268,0.12880584322119565
1504,1.5576170139862642,0.01700555116047894,0.11779816924572192,0.709448965674347,0.7989908760517004,8,0.5264242372229168,0.39,0.42024918962116387,8,1.505193936365101,0.356,0.3811206292746714,0.372,0.39712800012471255
