SNR_dB,rho,Near_user_PEP,Far_user_PEP,Average_PEP,kappa,selected_relay,selected_relay_gain
5.00000,0.77362,0.36945,0.37176,0.37061,2.00000,2.00000,0.43179
5.00000,0.77814,0.37085,0.37313,0.37199,2.00000,2.00000,0.43179
5.00000,0.78266,0.37227,0.37452,0.37339,2.00000,2.00000,0.43179
5.00000,0.78719,0.37372,0.37593,0.37482,2.00000,2.00000,0.43179
5.00000,0.79171,0.37519,0.37737,0.37628,2.00000,2.00000,0.43179
5.00000,0.79623,0.37668,0.37884,0.37776,2.00000,2.00000,0.43179
5.00000,0.80075,0.37821,0.38033,0.37927,2.00000,2.00000,0.43179
5.00000,0.80528,0.37976,0.38185,0.38080,2.00000,2.00000,0.43179
5.00000,0.80980,0.38134,0.38339,0.38236,2.00000,2.00000,0.43179
5.00000,0.81432,0.38294,0.38497,0.38396,2.00000,2.00000,0.43179
5.00000,0.81884,0.38458,0.38657,0.38558,2.00000,2.00000,0.43179
5.00000,0.82337,0.38625,0.38821,0.38723,2.00000,2.00000,0.43179
5.00000,0.82789,0.38795,0.38987,0.38891,2.00000,2.00000,0.43179
5.00000,0.83241,0.38968,0.39157,0.39063,2.00000,2.00000,0.43179
5.00000,0.83693,0.39145,0.39330,0.39237,2.00000,2.00000,0.43179
5.00000,0.84146,0.39325,0.39507,0.39416,2.00000,2.00000,0.43179
5.00000,0.84598,0.39509,0.39687,0.39598,2.00000,2.00000,0.43179
5.00000,0.85050,0.39696,0.39871,0.39783,2.00000,2.00000,0.43179
5.00000,0.85503,0.39887,0.40058,0.39973,2.00000,2.00000,0.43179
5.00000,0.85955,0.40083,0.40250,0.40166,2.00000,2.00000,0.43179
5.00000,0.86407,0.40282,0.40445,0.40364,2.00000,2.00000,0.43179
5.00000,0.86859,0.40486,0.40645,0.40566,2.00000,2.00000,0.43179
5.00000,0.87312,0.40694,0.40850,0.40772,2.00000,2.00000,0.43179
5.00000,0.87764,0.40907,0.41059,0.40983,2.00000,2.00000,0.43179
5.00000,0.88216,0.41125,0.41273,0.41199,2.00000,2.00000,0.43179
5.00000,0.88668,0.41348,0.41491,0.41420,2.00000,2.00000,0.43179
5.00000,0.89121,0.41576,0.41716,0.41646,2.00000,2.00000,0.43179
5.00000,0.89573,0.41810,0.41945,0.41878,2.00000,2.00000,0.43179
5.00000,0.90025,0.42050,0.42181,0.42116,2.00000,2.00000,0.43179
5.00000,0.90477,0.42296,0.42423,0.42359,2.00000,2.00000,0.43179
5.00000,0.90930,0.42549,0.42671,0.42610,2.00000,2.00000,0.43179
5.00000,0.91382,0.42808,0.42925,0.42867,2.00000,2.00000,0.43179
5.00000,0.91834,0.43075,0.43187,0.43131,2.00000,2.00000,0.43179
5.00000,0.92286,0.43349,0.43457,0.43403,2.00000,2.00000,0.43179
5.00000,0.92739,0.43631,0.43734,0.43683,2.00000,2.00000,0.43179
5.00000,0.93191,0.43922,0.44020,0.43971,2.00000,2.00000,0.43179
5.00000,0.93643,0.44223,0.44316,0.44269,2.00000,2.00000,0.43179
5.00000,0.94095,0.44533,0.44620,0.44577,2.00000,2.00000,0.43179
5.00000,0.94548,0.44853,0.44936,0.44895,2.00000,2.00000,0.43179
5.00000,0.95000,0.45185,0.45262,0.45224,2.00000,2.00000,0.43179
10.00000,0.05000,0.18635,0.20481,0.19558,2.00000,2.00000,0.43179
10.00000,0.05452,0.18032,0.19877,0.18955,2.00000,2.00000,0.43179
10.00000,0.05905,0.17496,0.19337,0.18416,2.00000,2.00000,0.43179
10.00000,0.06357,0.17016,0.18852,0.17934,2.00000,2.00000,0.43179
10.00000,0.06809,0.16584,0.18413,0.17499,2.00000,2.00000,0.43179
10.00000,0.07261,0.16194,0.18016,0.17105,2.00000,2.00000,0.43179
10.00000,0.07714,0.15840,0.17655,0.16747,2.00000,2.00000,0.43179
10.00000,0.08166,0.15518,0.17325,0.16421,2.00000,2.00000,0.43179
10.00000,0.08618,0.15224,0.17022,0.16123,2.00000,2.00000,0.43179
10.00000,0.09070,0.14955,0.16745,0.15850,2.00000,2.00000,0.43179
10.00000,0.09523,0.14708,0.16490,0.15599,2.00000,2.00000,0.43179
10.00000,0.09975,0.14482,0.16255,0.15368,2.00000,2.00000,0.43179
10.00000,0.10427,0.14273,0.16038,0.15156,2.00000,2.00000,0.43179
10.00000,0.10879,0.14081,0.15838,0.14959,2.00000,2.00000,0.43179
10.00000,0.11332,0.13903,0.15652,0.14777,2.00000,2.00000,0.43179
10.00000,0.11784,0.13739,0.15480,0.14609,2.00000,2.00000,0.43179
10.00000,0.12236,0.13587,0.15320,0.14453,2.00000,2.00000,0.43179
10.00000,0.12688,0.13446,0.15171,0.14309,2.00000,2.00000,0.43179
10.00000,0.13141,0.13316,0.15034,0.14175,2.00000,2.00000,0.43179
10.00000,0.13593,0.13195,0.14905,0.14050,2.00000,2.00000,0.43179
10.00000,0.14045,0.13083,0.14786,0.13935,2.00000,2.00000,0.43179
10.00000,0.14497,0.12980,0.14675,0.13827,2.00000,2.00000,0.43179
10.00000,0.14950,0.12883,0.14572,0.13728,2.00000,2.00000,0.43179
10.00000,0.15402,0.12794,0.14476,0.13635,2.00000,2.00000,0.43179
10.00000,0.15854,0.12711,0.14387,0.13549,2.00000,2.00000,0.43179
10.00000,0.16307,0.12635,0.14304,0.13470,2.00000,2.00000,0.43179
10.00000,0.16759,0.12564,0.14227,0.13396,2.00000,2.00000,0.43179
10.00000,0.17211,0.12499,0.14156,0.13327,2.00000,2.00000,0.43179
10.00000,0.17663,0.12438,0.14090,0.13264,2.00000,2.00000,0.43179
10.00000,0.18116,0.12383,0.14029,0.13206,2.00000,2.00000,0.43179
10.00000,0.18568,0.12332,0.13972,0.13152,2.00000,2.00000,0.43179
10.00000,0.19020,0.12285,0.13920,0.13102,2.00000,2.00000,0.43179
10.00000,0.19472,0.12242,0.13872,0.13057,2.00000,2.00000,0.43179
10.00000,0.19925,0.12203,0.13828,0.13015,2.00000,2.00000,0.43179
10.00000,0.20377,0.12168,0.13787,0.12978,2.00000,2.00000,0.43179
10.00000,0.20829,0.12136,0.13751,0.12943,2.00000,2.00000,0.43179
10.00000,0.21281,0.12107,0.13717,0.12912,2.00000,2.00000,0.43179
10.00000,0.21734,0.12082,0.13687,0.12884,2.00000,2.00000,0.43179
10.00000,0.22186,0.12059,0.13660,0.12860,2.00000,2.00000,0.43179
10.00000,0.22638,0.12039,0.13636,0.12838,2.00000,2.00000,0.43179
10.00000,0.23090,0.12023,0.13615,0.12819,2.00000,2.00000,0.43179
10.00000,0.23543,0.12008,0.13597,0.12803,2.00000,2.00000,0.43179
10.00000,0.23995,0.11997,0.13581,0.12789,2.00000,2.00000,0.43179
10.00000,0.24447,0.11987,0.13568,0.12777,2.00000,2.00000,0.43179
10.00000,0.24899,0.11980,0.13557,0.12769,2.00000,2.00000,0.43179
10.00000,0.25352,0.11976,0.13548,0.12762,2.00000,2.00000,0.43179
10.00000,0.25804,0.11973,0.13542,0.12758,2.00000,2.00000,0.43179
10.00000,0.26256,0.11973,0.13538,0.12755,2.00000,2.00000,0.43179
10.00000,0.26709,0.11974,0.13536,0.12755,2.00000,2.00000,0.43179
10.00000,0.27161,0.11978,0.13536,0.12757,2.00000,2.00000,0.43179
10.00000,0.27613,0.11983,0.13538,0.12761,2.00000,2.00000,0.43179
10.00000,0.28065,0.11991,0.13542,0.12767,2.00000,2.00000,0.43179
10.00000,0.28518,0.12000,0.13548,0.12774,2.00000,2.00000,0.43179
10.00000,0.28970,0.12011,0.13556,0.12783,2.00000,2.00000,0.43179
10.00000,0.29422,0.12023,0.13565,0.12794,2.00000,2.00000,0.43179
10.00000,0.29874,0.12038,0.13577,0.12807,2.00000,2.00000,0.43179
10.00000,0.30327,0.12054,0.13590,0.12822,2.00000,2.00000,0.43179
10.00000,0.30779,0.12071,0.13604,0.12838,2.00000,2.00000,0.43179
10.00000,0.31231,0.12090,0.13620,0.12855,2.00000,2.00000,0.43179
10.00000,0.31683,0.12111,0.13638,0.12875,2.00000,2.00000,0.43179
10.00000,0.32136,0.12133,0.13657,0.12895,2.00000,2.00000,0.43179
10.00000,0.32588,0.12157,0.13678,0.12918,2.00000,2.00000,0.43179
10.00000,0.33040,0.12182,0.13701,0.12941,2.00000,2.00000,0.43179
10.00000,0.33492,0.12208,0.13724,0.12966,2.00000,2.00000,0.43179
